"file_id"	"cases.samples.submitter_id"
"b6a967fe-adc2-4520-8a76-a4db12c4abfa"	"TCGA-E7-A6MF-01A"
"a9f437ef-498c-4de6-aa65-df1830fbac13"	"TCGA-PK-A5H8-01A"
"cac4369d-9154-4ef7-9f90-49042449cdf2"	"TCGA-OR-A5JP-01A"
"5c3fd7e2-7fa1-4a10-82bd-57089e9705f6"	"TCGA-OR-A5JE-01A"
"e1948375-c388-4db2-bb67-15610def5933"	"TCGA-OR-A5J7-01A"
"e34cee80-7e50-4921-a1ff-ae50d8ce1968"	"TCGA-OR-A5LP-01A"
"2a56f29f-d912-4c81-ab95-45e49d53d98e"	"TCGA-P6-A5OG-01A"
"55f5fd8d-7d6b-4237-b159-e499200bd725"	"TCGA-66-2768-01A"
"a06f93b5-e584-4f81-b66c-48e93e3fd7a0"	"TCGA-90-6837-01A"
"884fd188-69dc-490f-9a04-3abfec54ac44"	"TCGA-92-7341-01A"
"57f00bb3-b541-4fc8-b742-3f5ee26a6cb7"	"TCGA-66-2780-01A"
"af504408-ea26-4d0e-9637-a5e8e8ad194f"	"TCGA-66-2794-01A"
"9fc77cd0-43ee-4509-bd75-bfc45d34220b"	"TCGA-21-A5DI-01A"
"52a15955-883f-4cf3-85ac-2ee592489b6f"	"TCGA-66-2763-01A"
"86a7c439-1841-44a5-bfa5-ea16084b7543"	"TCGA-A8-A0AD-01A"
"87965b42-dd85-4f3b-acab-3208931eefb8"	"TCGA-UY-A78O-01A"
"91e6814b-4443-4f5a-b311-b9f215246fde"	"TCGA-XF-A9T8-01A"
"34ec29c8-dff7-4fa0-ad77-4498e9daffc3"	"TCGA-2F-A9KW-01A"
"8143d67d-86c9-4ba0-a08e-bddf58b69a51"	"TCGA-DK-A3IL-01A"
"ca749901-193d-448b-a515-37281fd0005b"	"TCGA-DK-A3IM-01A"
"fb3410cd-0551-48f1-9794-d0d59d1b2a52"	"TCGA-GC-A3OO-01A"
"abfe4e64-7d93-4556-8112-099ef5aead94"	"TCGA-UY-A9PF-01A"
"28d6583e-0435-441a-a76b-248f0bf6a784"	"TCGA-DK-A6AV-01A"
"fd2233f7-73c7-4486-beef-82a1d9781c9e"	"TCGA-DK-A1A3-01A"
"5c2d7120-866a-440a-9bf3-fcbe4a54689c"	"TCGA-FW-A5DX-01A"
"f3a5c557-5feb-4935-98d5-88b29fd813b5"	"TCGA-AN-A0G0-01A"
"4e179afb-b40a-416a-9ea7-bffc2a9660ea"	"TCGA-C8-A134-01A"
"7a21003c-3448-44b7-b690-2db12a87e7ff"	"TCGA-A2-A25A-01A"
